SeatID,Region,Constituency,Name,Lat,Lon,Status,Color,VictParty,Margin
1,EP,NE1,Rangpur 1,25.666,89.501,Done,#1f78b4,AL,79.97764012
2,EP,NE2,Rangpur 2,25.873,89.44,Done,#1f78b4,AL,60.41618047
3,EP,NE3,Rangpur 3,25.761,89.595,Done,#1f78b4,AL,42.75087705
4,EP,NE4,Rangpur 4,25.89,89.707,Done,#1f78b4,AL,61.97539855
5,EP,NE5,Rangpur 5,25.546,89.759,Done,#1f78b4,AL,17.58764112
6,EP,NE6,Rangpur 6,25.468,89.526,Done,#1f78b4,AL,27.59600729
7,EP,NE7,Rangpur 7,25.528,89.199,Done,#1f78b4,AL,84.75805043
8,EP,NE8,Rangpur 8,25.683,89.105,Done,#1f78b4,AL,64.52913632
9,EP,NE9,Rangpur 9,25.778,88.993,Done,#1f78b4,AL,37.33804114
10,EP,NE10,Rangpur 10,25.873,88.915,Done,#1f78b4,AL,45.34815682
11,EP,NE11,Rangpur 11,25.95,89.087,Done,#1f78b4,AL,35.51928062
12,EP,NE12,Rangpur 12,26.114,89.036,Done,#1f78b4,AL,49.89776272
13,EP,NE13,Dinajpur 1,26.226,88.545,Done,#1f78b4,AL,52.95138889
14,EP,NE14,Dinajpur 2,25.993,88.553,Done,#1f78b4,AL,36.68307651
15,EP,NE15,Dinajpur 3,25.916,88.287,Done,#1f78b4,AL,35.12441833
16,EP,NE16,Dinajpur 4,25.597,88.665,Done,#1f78b4,AL,71.77966508
17,EP,NE17,Dinajpur 5,25.58,88.958,Done,#1f78b4,AL,70.71257355
18,EP,NE18,Dinajpur 6,25.365,89.165,Done,#1f78b4,AL,76.7516725
19,EP,NE19,Bogra 1,25.089,89.044,Done,#1f78b4,AL,31.58997658
20,EP,NE20,Bogra 2,25.046,89.303,Done,#1f78b4,AL,47.27360433
21,EP,NE21,Bogra 3,24.84,89.371,Done,#1f78b4,AL,41.25568617
22,EP,NE22,Bogra 4,24.831,89.087,Done,#1f78b4,AL,72.30994458
23,EP,NE23,Bogra 5,24.753,89.552,Done,#1f78b4,AL,14.43745149
24,EP,NE24,Pabna 1,24.469,89.311,Done,#1f78b4,AL,34.35767729
25,EP,NE25,Pabna 2,24.314,89.38,Done,#1f78b4,AL,70.06874821
26,EP,NE26,Pabna 3,24.168,89.475,Done,#1f78b4,AL,79.71023616
